,beta_ini,C1_ini,C2_ini,ponderation,C1,C2,beta,std_C1,std_C2,std_beta,gamma,proba
0,-2.5,1.5,1.5,IStdI_evtStdM_gMclass,1.6044325777102222,1.4795205787777108,-2.7132942397596627,0.6255663640492855,0.14093977394825133,0.23749721177553887,0,0.1111111111111111
1,-2.5,2,1.5,IStdI_evtStdM_gMclass,1.992361183284596,1.3824864638867373,-2.693345606155223,0.6148262998166877,0.13876228646290995,0.23108719772178707,0,0.1111111111111111
2,-2.5,2.5,1.5,IStdI_evtStdM_gMclass,2.3910666935034666,1.2965345938004147,-2.7166179140595803,0.60758184761243,0.13708777729009114,0.22605859123086594,0,0.1111111111111111
3,-3,1.5,1.5,IStdI_evtStdM_gMclass,1.6306058181170464,1.472672238539408,-2.6901194680107197,0.6449662976239259,0.1470081168498725,0.260000724103114,0,0.1111111111111111
4,-3,2,1.5,IStdI_evtStdM_gMclass,2.0244572992982466,1.4334712933201097,-2.8355734137484325,0.6423619612500799,0.1464154751138257,0.25834619658361657,0,0.1111111111111111
5,-3,2.5,1.5,IStdI_evtStdM_gMclass,2.4416677468297796,1.3034424801156843,-2.751238018567733,0.6402642328384583,0.14591816387364592,0.2568015741810267,0,0.1111111111111111
6,-3.5,1.5,1.5,IStdI_evtStdM_gMclass,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0.680722807921035,0.15273891560203473,0.27297601668673027,0,0.1111111111111111
7,-3.5,2,1.5,IStdI_evtStdM_gMclass,2.1673966300977874,1.372572799902499,-2.745746460305707,0.6823615946252212,0.15271768360552226,0.2725914347195645,0,0.1111111111111111
8,-3.5,2.5,1.5,IStdI_evtStdM_gMclass,2.5011807879562653,1.3665451709097904,-2.971023606876117,0.6829400652738796,0.1526979777482355,0.2723486779634831,0,0.1111111111111111
