,C1,C2,beta_FR,proba,ponderation,C1_std,C2_std
0,3.48173179432139,1.3588989666248077,-3.35,0.01335,IStdI_evtStdM_gMclass,0.3204065426550528,0.07686425429158898
1,3.4672121929799515,1.3764270514271617,-3.35,0.01335,IStdI_evtUni,0.3204065474683155,0.07686425562755435
2,3.3882786073434046,1.3462571823658176,-3.25,0.35665,IStdI_evtStdM_gMclass,0.3204065543306404,0.07686425703096564
3,3.3822482540239713,1.3614474905601495,-3.25,0.35665,IStdI_evtUni,0.3204065568218041,0.07686425778639033
4,3.300926282808297,1.3323445466547084,-3.15,0.07335,IStdI_evtStdM_gMclass,0.32040655172416227,0.07686425640196674
5,3.3045716413563158,1.3448701285747584,-3.15,0.07335,IStdI_evtUni,0.3204065412960864,0.07686425390185639
6,3.21490833582052,1.3181397353770623,-3.05,0.05335,IStdI_evtStdM_gMclass,0.32040654980949906,0.07686425590338011
7,3.2299235482366955,1.3276075274954247,-3.05,0.05335,IStdI_evtUni,0.32040653953085974,0.07686425359544846
8,3.1293516028093857,1.3038858392947095,-2.95,0.00335,IStdI_evtStdM_gMclass,0.3204065633696442,0.07686425959308078
9,3.155380527692605,1.310317864190463,-2.95,0.00335,IStdI_evtUni,0.3204065552924505,0.07686425777584775
